,t,U1,I,T1,time
209,1710845760.0,3.042,0.643,298.1343303222656,2024-03-19 10:56:00
211,1710845760.0,3.055,0.642,298.1343303222656,2024-03-19 10:56:00
210,1710845760.0,3.051,0.642,298.1343303222656,2024-03-19 10:56:00
213,1710845760.0,3.061,0.642,298.1343303222656,2024-03-19 10:56:00
212,1710845760.0,3.058,0.642,298.1343303222656,2024-03-19 10:56:00
214,1710845761.0,3.063,0.642,298.1573100585937,2024-03-19 10:56:01
215,1710845761.0,3.066,0.642,298.1573100585937,2024-03-19 10:56:01
217,1710845762.0,3.07,0.642,298.07689624023436,2024-03-19 10:56:02
216,1710845762.0,3.068,0.642,298.07689624023436,2024-03-19 10:56:02
218,1710845763.0,3.072,0.642,298.06542163085936,2024-03-19 10:56:03
219,1710845764.0,3.074,0.642,298.07689624023436,2024-03-19 10:56:04
220,1710845765.0,3.076,0.642,298.0998759765625,2024-03-19 10:56:05
221,1710845766.0,3.078,0.642,298.05391650390624,2024-03-19 10:56:06
222,1710845767.0,3.08,0.642,297.9557414550781,2024-03-19 10:56:07
223,1710845768.0,3.083,0.642,297.96724658203124,2024-03-19 10:56:08
224,1710845770.0,3.085,0.642,297.90978198242186,2024-03-19 10:56:10
225,1710845771.0,3.087,0.642,298.01317553710936,2024-03-19 10:56:11
226,1710845773.0,3.089,0.642,297.93798022460936,2024-03-19 10:56:13
227,1710845774.0,3.091,0.642,297.9034953613281,2024-03-19 10:56:14
228,1710845775.0,3.093,0.642,297.9839091796875,2024-03-19 10:56:15
229,1710845777.0,3.095,0.642,297.9609599609375,2024-03-19 10:56:17
230,1710845778.0,3.097,0.642,298.0068889160156,2024-03-19 10:56:18
231,1710845780.0,3.099,0.642,298.087302734375,2024-03-19 10:56:20
232,1710845781.0,3.101,0.642,297.93798022460936,2024-03-19 10:56:21
233,1710845783.0,3.104,0.642,298.09358935546874,2024-03-19 10:56:23
234,1710845785.0,3.106,0.642,297.99019580078124,2024-03-19 10:56:25
235,1710845787.0,3.108,0.642,298.04244189453124,2024-03-19 10:56:27
236,1710845788.0,3.11,0.642,298.1228557128906,2024-03-19 10:56:28
237,1710845790.0,3.112,0.642,298.06542163085936,2024-03-19 10:56:30
238,1710845792.0,3.114,0.642,298.0194621582031,2024-03-19 10:56:32
239,1710845794.0,3.116,0.642,297.97350268554686,2024-03-19 10:56:34
240,1710845795.0,3.119,0.642,297.9850078125,2024-03-19 10:56:35
241,1710845797.0,3.121,0.642,298.0246806640625,2024-03-19 10:56:37
242,1710845799.0,3.123,0.642,297.93276171875,2024-03-19 10:56:39
243,1710845801.0,3.125,0.642,297.89830737304686,2024-03-19 10:56:41
244,1710845804.0,3.127,0.642,297.921287109375,2024-03-19 10:56:44
245,1710845806.0,3.129,0.642,297.921287109375,2024-03-19 10:56:46
246,1710845808.0,3.131,0.642,297.80638842773436,2024-03-19 10:56:48
247,1710845810.0,3.133,0.642,297.8523479003906,2024-03-19 10:56:50
248,1710845812.0,3.135,0.642,298.2544169921875,2024-03-19 10:56:52
249,1710845814.0,3.137,0.642,297.9557414550781,2024-03-19 10:56:54
250,1710845817.0,3.14,0.642,297.73744921875,2024-03-19 10:56:57
251,1710845819.0,3.142,0.642,297.73744921875,2024-03-19 10:56:59
252,1710845821.0,3.144,0.642,297.73116259765624,2024-03-19 10:57:01
253,1710845824.0,3.146,0.642,297.76561694335936,2024-03-19 10:57:04
254,1710845826.0,3.148,0.642,297.93798022460936,2024-03-19 10:57:06
255,1710845829.0,3.15,0.642,297.91500048828124,2024-03-19 10:57:09
256,1710845832.0,3.153,0.642,297.92647509765624,2024-03-19 10:57:12
257,1710845834.0,3.155,0.642,297.9609599609375,2024-03-19 10:57:14
258,1710845836.0,3.157,0.642,297.880515625,2024-03-19 10:57:16
259,1710845839.0,3.159,0.642,297.880515625,2024-03-19 10:57:19
260,1710845842.0,3.161,0.642,297.89830737304686,2024-03-19 10:57:22
261,1710845844.0,3.163,0.642,297.90978198242186,2024-03-19 10:57:24
262,1710845847.0,3.165,0.642,297.80638842773436,2024-03-19 10:57:27
263,1710845850.0,3.168,0.642,297.80638842773436,2024-03-19 10:57:30
264,1710845853.0,3.17,0.642,297.78340869140624,2024-03-19 10:57:33
265,1710845856.0,3.172,0.642,297.81264453125,2024-03-19 10:57:36
266,1710845858.0,3.174,0.642,297.75521044921874,2024-03-19 10:57:38
267,1710845861.0,3.176,0.642,297.7322307128906,2024-03-19 10:57:41
268,1710845865.0,3.178,0.642,297.72594409179686,2024-03-19 10:57:45
269,1710845868.0,3.18,0.642,297.748923828125,2024-03-19 10:57:48
270,1710845870.0,3.182,0.642,297.7603984375,2024-03-19 10:57:50
271,1710845873.0,3.184,0.642,297.79488330078124,2024-03-19 10:57:53
272,1710845876.0,3.186,0.642,297.7719035644531,2024-03-19 10:57:56
273,1710845879.0,3.188,0.642,297.7603984375,2024-03-19 10:57:59
274,1710845882.0,3.19,0.642,297.7603984375,2024-03-19 10:58:02
275,1710845886.0,3.192,0.642,297.7719035644531,2024-03-19 10:58:06
276,1710845888.0,3.194,0.642,297.7719035644531,2024-03-19 10:58:08
277,1710845892.0,3.196,0.642,297.7719035644531,2024-03-19 10:58:12
278,1710845896.0,3.199,0.642,297.73744921875,2024-03-19 10:58:16
279,1710845899.0,3.201,0.642,297.78340869140624,2024-03-19 10:58:19
280,1710845902.0,3.203,0.642,297.748923828125,2024-03-19 10:58:22
281,1710845905.0,3.205,0.642,297.72594409179686,2024-03-19 10:58:25
282,1710845909.0,3.207,0.642,297.90978198242186,2024-03-19 10:58:29
283,1710845912.0,3.209,0.642,297.81786303710936,2024-03-19 10:58:32
284,1710845915.0,3.211,0.642,297.79488330078124,2024-03-19 10:58:35
285,1710845919.0,3.213,0.642,297.8293681640625,2024-03-19 10:58:39
286,1710845922.0,3.215,0.642,297.748923828125,2024-03-19 10:58:42
287,1710845926.0,3.217,0.642,297.79488330078124,2024-03-19 10:58:46
288,1710845929.0,3.219,0.642,297.7603984375,2024-03-19 10:58:49
289,1710845933.0,3.221,0.642,297.78340869140624,2024-03-19 10:58:53
290,1710845937.0,3.223,0.642,297.74999194335936,2024-03-19 10:58:57
291,1710845941.0,3.225,0.642,297.71031909179686,2024-03-19 10:59:01
292,1710845945.0,3.228,0.642,297.73851733398436,2024-03-19 10:59:05
293,1710845949.0,3.23,0.642,297.75521044921874,2024-03-19 10:59:09
294,1710845954.0,3.232,0.642,297.7322307128906,2024-03-19 10:59:14
295,1710845958.0,3.234,0.642,297.7719035644531,2024-03-19 10:59:18
296,1710845962.0,3.236,0.642,297.6799846191406,2024-03-19 10:59:22
297,1710845966.0,3.238,0.642,297.18575244140624,2024-03-19 10:59:26
298,1710845970.0,3.24,0.642,296.49681811523436,2024-03-19 10:59:30
299,1710845975.0,3.242,0.642,296.31905322265624,2024-03-19 10:59:35
300,1710845979.0,3.244,0.642,296.7843547363281,2024-03-19 10:59:39
301,1710845983.0,3.247,0.642,297.56612353515624,2024-03-19 10:59:43
302,1710845988.0,3.249,0.642,297.7207255859375,2024-03-19 10:59:48
303,1710845992.0,3.251,0.642,297.7562785644531,2024-03-19 10:59:52
304,1710845997.0,3.253,0.642,297.7448039550781,2024-03-19 10:59:57
305,1710846001.0,3.255,0.642,297.64549975585936,2024-03-19 11:00:01
306,1710846006.0,3.257,0.642,297.64549975585936,2024-03-19 11:00:06
307,1710846011.0,3.259,0.642,297.6570048828125,2024-03-19 11:00:11
308,1710846015.0,3.261,0.642,297.70296435546874,2024-03-19 11:00:15
309,1710846020.0,3.263,0.642,297.78966479492186,2024-03-19 11:00:20
310,1710846025.0,3.266,0.642,297.72701220703124,2024-03-19 11:00:25
311,1710846030.0,3.268,0.642,297.7092509765625,2024-03-19 11:00:30
312,1710846035.0,3.27,0.642,297.77819018554686,2024-03-19 11:00:35
313,1710846040.0,3.272,0.642,297.79076342773436,2024-03-19 11:00:40
314,1710846044.0,3.274,0.642,297.82002978515624,2024-03-19 11:00:44
315,1710846050.0,3.276,0.642,297.7562785644531,2024-03-19 11:00:50
316,1710846055.0,3.278,0.642,297.76778369140624,2024-03-19 11:00:55
317,1710846060.0,3.28,0.642,297.72701220703124,2024-03-19 11:01:00
318,1710846066.0,3.282,0.642,297.7603984375,2024-03-19 11:01:06
319,1710846071.0,3.285,0.642,297.79488330078124,2024-03-19 11:01:11
320,1710846077.0,3.287,0.642,297.73744921875,2024-03-19 11:01:17
321,1710846082.0,3.289,0.642,297.6799846191406,2024-03-19 11:01:22
322,1710846088.0,3.291,0.642,297.77819018554686,2024-03-19 11:01:28
323,1710846093.0,3.293,0.642,297.77819018554686,2024-03-19 11:01:33
324,1710846099.0,3.295,0.642,297.8293681640625,2024-03-19 11:01:39
325,1710846104.0,3.297,0.642,297.7719035644531,2024-03-19 11:01:44
326,1710846110.0,3.299,0.642,297.79488330078124,2024-03-19 11:01:50
327,1710846116.0,3.301,0.642,297.8638225097656,2024-03-19 11:01:56
328,1710846121.0,3.303,0.642,297.79488330078124,2024-03-19 11:02:01
329,1710846127.0,3.305,0.642,297.8115764160156,2024-03-19 11:02:07
330,1710846134.0,3.307,0.642,297.75826220703124,2024-03-19 11:02:14
331,1710846140.0,3.309,0.642,297.76973681640624,2024-03-19 11:02:20
332,1710846146.0,3.311,0.642,297.8156962890625,2024-03-19 11:02:26
333,1710846152.0,3.313,0.642,297.80528979492186,2024-03-19 11:02:32
334,1710846158.0,3.315,0.642,297.85753588867186,2024-03-19 11:02:38
335,1710846164.0,3.317,0.642,297.82826953125,2024-03-19 11:02:44
336,1710846171.0,3.319,0.642,297.7771220703125,2024-03-19 11:02:51
337,1710846177.0,3.321,0.642,297.80528979492186,2024-03-19 11:02:57
338,1710846184.0,3.323,0.642,297.8156962890625,2024-03-19 11:03:04
339,1710846191.0,3.325,0.642,297.8668742675781,2024-03-19 11:03:11
340,1710846197.0,3.327,0.642,297.83760791015624,2024-03-19 11:03:17
341,1710846204.0,3.329,0.642,297.7979350585937,2024-03-19 11:03:24
342,1710846212.0,3.331,0.642,297.8668742675781,2024-03-19 11:03:32
343,1710846218.0,3.334,0.642,297.86275439453124,2024-03-19 11:03:38
344,1710846225.0,3.336,0.642,297.89720874023436,2024-03-19 11:03:45
345,1710846232.0,3.338,0.642,297.8950725097656,2024-03-19 11:03:52
346,1710846240.0,3.34,0.642,297.818748046875,2024-03-19 11:04:00
347,1710846247.0,3.342,0.642,297.82396655273436,2024-03-19 11:04:07
348,1710846254.0,3.344,0.642,297.8354716796875,2024-03-19 11:04:14
349,1710846262.0,3.346,0.642,297.80098681640624,2024-03-19 11:04:22
350,1710846269.0,3.348,0.642,297.92845874023436,2024-03-19 11:04:29
351,1710846277.0,3.35,0.642,297.91588549804686,2024-03-19 11:04:37
352,1710846285.0,3.352,0.642,297.91588549804686,2024-03-19 11:04:45
353,1710846293.0,3.354,0.642,297.89290576171874,2024-03-19 11:04:53
354,1710846300.0,3.356,0.642,297.92110400390624,2024-03-19 11:05:00
355,1710846309.0,3.358,0.642,297.86363940429686,2024-03-19 11:05:09
356,1710846317.0,3.36,0.642,297.8469462890625,2024-03-19 11:05:17
357,1710846325.0,3.362,0.642,297.8814311523437,2024-03-19 11:05:25
358,1710846334.0,3.364,0.642,297.91588549804686,2024-03-19 11:05:34
359,1710846343.0,3.366,0.642,297.82396655273436,2024-03-19 11:05:43
360,1710846352.0,3.368,0.642,297.86470751953124,2024-03-19 11:05:52
361,1710846360.0,3.37,0.642,297.8469462890625,2024-03-19 11:06:00
362,1710846370.0,3.372,0.642,297.82396655273436,2024-03-19 11:06:10
363,1710846379.0,3.374,0.642,297.8469462890625,2024-03-19 11:06:19
364,1710846388.0,3.376,0.642,297.870994140625,2024-03-19 11:06:28
365,1710846398.0,3.378,0.642,297.84065966796874,2024-03-19 11:06:38
366,1710846407.0,3.38,0.642,297.8291850585937,2024-03-19 11:06:47
367,1710846418.0,3.382,0.642,297.8699260253906,2024-03-19 11:06:58
368,1710846427.0,3.385,0.642,297.8469462890625,2024-03-19 11:07:07
369,1710846439.0,3.387,0.642,297.86363940429686,2024-03-19 11:07:19
370,1710846448.0,3.389,0.642,297.8469462890625,2024-03-19 11:07:28
371,1710846459.0,3.391,0.642,297.89290576171874,2024-03-19 11:07:39
372,1710846471.0,3.393,0.642,297.8677592773437,2024-03-19 11:07:51
373,1710846481.0,3.395,0.642,297.89073901367186,2024-03-19 11:08:01
374,1710846492.0,3.397,0.642,297.93151049804686,2024-03-19 11:08:12
375,1710846503.0,3.399,0.642,297.7832255859375,2024-03-19 11:08:23
376,1710846514.0,3.401,0.642,297.86470751953124,2024-03-19 11:08:34
377,1710846527.0,3.403,0.642,297.89290576171874,2024-03-19 11:08:47
378,1710846538.0,3.405,0.642,297.8584514160156,2024-03-19 11:08:58
379,1710846551.0,3.407,0.642,297.81249194335936,2024-03-19 11:09:11
380,1710846564.0,3.409,0.642,297.7780070800781,2024-03-19 11:09:24
381,1710846577.0,3.411,0.642,297.9180522460937,2024-03-19 11:09:37
382,1710846590.0,3.413,0.642,297.8417277832031,2024-03-19 11:09:50
383,1710846604.0,3.415,0.642,297.88768725585936,2024-03-19 11:10:04
384,1710846619.0,3.417,0.642,297.8824992675781,2024-03-19 11:10:19
385,1710846632.0,3.419,0.642,297.82396655273436,2024-03-19 11:10:32
386,1710846648.0,3.421,0.642,297.8354716796875,2024-03-19 11:10:48
387,1710846663.0,3.423,0.642,297.90441088867186,2024-03-19 11:11:03
388,1710846678.0,3.425,0.642,297.84801440429686,2024-03-19 11:11:18
389,1710846696.0,3.427,0.642,297.8950725097656,2024-03-19 11:11:36
390,1710846713.0,3.429,0.642,297.870994140625,2024-03-19 11:11:53
391,1710846732.0,3.431,0.642,297.8981242675781,2024-03-19 11:12:12
392,1710846751.0,3.433,0.642,297.8543010253906,2024-03-19 11:12:31
393,1710846772.0,3.435,0.642,297.8543010253906,2024-03-19 11:12:52
394,1710846795.0,3.437,0.642,297.85323291015624,2024-03-19 11:13:15
395,1710846820.0,3.439,0.642,297.8543010253906,2024-03-19 11:13:40
396,1710846850.0,3.441,0.642,297.82396655273436,2024-03-19 11:14:10
397,1710846883.0,3.443,0.642,297.87621264648436,2024-03-19 11:14:43
398,1710846925.0,3.445,0.642,297.886619140625,2024-03-19 11:15:25
399,1710846969.0,3.447,0.642,297.8385234375,2024-03-19 11:16:09
400,1710847019.0,3.449,0.642,297.8207316894531,2024-03-19 11:16:59
401,1710847065.0,3.451,0.642,297.8573527832031,2024-03-19 11:17:45
402,1710847117.0,3.453,0.642,297.8374248046875,2024-03-19 11:18:37
403,1710847166.0,3.455,0.642,297.8207316894531,2024-03-19 11:19:26
404,1710847216.0,3.457,0.642,297.7726359863281,2024-03-19 11:20:16
405,1710847271.0,3.459,0.642,297.8415751953125,2024-03-19 11:21:11
406,1710847316.0,3.461,0.642,297.81749682617186,2024-03-19 11:21:56
407,1710847369.0,3.463,0.642,297.829001953125,2024-03-19 11:22:49
408,1710847422.0,3.465,0.642,297.7997355957031,2024-03-19 11:23:42
409,1710847469.0,3.467,0.642,297.7735209960937,2024-03-19 11:24:29
410,1710847521.0,3.469,0.642,297.7119365234375,2024-03-19 11:25:21
411,1710847569.0,3.471,0.642,297.6753154296875,2024-03-19 11:26:09
412,1710847618.0,3.473,0.642,297.66060595703124,2024-03-19 11:26:58
413,1710847666.0,3.475,0.642,297.66060595703124,2024-03-19 11:27:46
414,1710847718.0,3.477,0.642,297.64696459960936,2024-03-19 11:28:38
415,1710847768.0,3.479,0.642,297.69185595703124,2024-03-19 11:29:28
416,1710847816.0,3.481,0.642,297.72310595703124,2024-03-19 11:30:16
417,1710847860.0,3.483,0.642,297.6155314941406,2024-03-19 11:31:00
418,1710847906.0,3.485,0.642,297.6489482421875,2024-03-19 11:31:46
419,1710847950.0,3.487,0.642,297.6185832519531,2024-03-19 11:32:30
420,1710847992.0,3.489,0.642,297.6875529785156,2024-03-19 11:33:12
421,1710848037.0,3.491,0.642,297.58089404296874,2024-03-19 11:33:57
422,1710848076.0,3.493,0.642,297.5620341796875,2024-03-19 11:34:36
423,1710848118.0,3.495,0.642,297.59239916992186,2024-03-19 11:35:18
424,1710848156.0,3.497,0.642,297.5035014648437,2024-03-19 11:35:56
425,1710848194.0,3.499,0.642,297.5338359375,2024-03-19 11:36:34
426,1710848234.0,3.501,0.642,297.54317431640624,2024-03-19 11:37:14
427,1710848270.0,3.503,0.642,297.5525432128906,2024-03-19 11:37:50
428,1710848306.0,3.505,0.642,297.54732470703124,2024-03-19 11:38:26
429,1710848342.0,3.507,0.642,297.5117717285156,2024-03-19 11:39:02
430,1710848378.0,3.509,0.642,297.48143725585936,2024-03-19 11:39:38
431,1710848410.0,3.511,0.642,297.45430712890624,2024-03-19 11:40:10
432,1710848443.0,3.513,0.642,297.49291186523436,2024-03-19 11:40:43
433,1710848478.0,3.515,0.642,297.44496875,2024-03-19 11:41:18
434,1710848510.0,3.517,0.642,297.435447265625,2024-03-19 11:41:50
435,1710848546.0,3.52,0.642,297.46471362304686,2024-03-19 11:42:26
436,1710848584.0,3.522,0.642,297.4469523925781,2024-03-19 11:43:04
437,1710848616.0,3.524,0.642,297.4500041503906,2024-03-19 11:43:36
438,1710848655.0,3.526,0.642,297.4018779296875,2024-03-19 11:44:15
439,1710848687.0,3.528,0.642,297.4415812988281,2024-03-19 11:44:47
440,1710848721.0,3.53,0.642,297.4248881835937,2024-03-19 11:45:21
441,1710848758.0,3.532,0.642,297.430076171875,2024-03-19 11:45:58
442,1710848789.0,3.534,0.642,297.4060283203125,2024-03-19 11:46:29
443,1710848824.0,3.536,0.642,297.46349291992186,2024-03-19 11:47:04
444,1710848857.0,3.538,0.642,297.3767619628906,2024-03-19 11:47:37
445,1710848892.0,3.54,0.642,297.4457316894531,2024-03-19 11:48:12
446,1710848924.0,3.542,0.642,297.46871142578124,2024-03-19 11:48:44
447,1710848960.0,3.544,0.642,297.5031962890625,2024-03-19 11:49:20
448,1710848994.0,3.546,0.642,297.4739299316406,2024-03-19 11:49:54
449,1710849027.0,3.548,0.642,297.44249682617186,2024-03-19 11:50:27
450,1710849063.0,3.55,0.642,297.45922045898436,2024-03-19 11:51:03
451,1710849097.0,3.552,0.642,297.4769816894531,2024-03-19 11:51:37
452,1710849134.0,3.554,0.642,297.49584155273436,2024-03-19 11:52:14
453,1710849169.0,3.556,0.642,297.51146655273436,2024-03-19 11:52:49
454,1710849207.0,3.558,0.642,297.54808764648436,2024-03-19 11:53:27
455,1710849246.0,3.56,0.642,297.48326831054686,2024-03-19 11:54:06
456,1710849282.0,3.562,0.642,297.5051799316406,2024-03-19 11:54:42
457,1710849323.0,3.564,0.642,297.49889331054686,2024-03-19 11:55:23
458,1710849363.0,3.566,0.642,297.5344462890625,2024-03-19 11:56:03
459,1710849403.0,3.568,0.642,297.5229716796875,2024-03-19 11:56:43
460,1710849442.0,3.57,0.642,297.5344462890625,2024-03-19 11:57:22
461,1710849481.0,3.572,0.642,297.56172900390624,2024-03-19 11:58:01
462,1710849521.0,3.574,0.642,297.5105510253906,2024-03-19 11:58:41
463,1710849560.0,3.576,0.642,297.4990458984375,2024-03-19 11:59:20
464,1710849599.0,3.578,0.642,297.5753703613281,2024-03-19 11:59:59
465,1710849640.0,3.58,0.642,297.5220256347656,2024-03-19 12:00:40
466,1710849677.0,3.582,0.642,297.5909953613281,2024-03-19 12:01:17
467,1710849715.0,3.585,0.642,297.60985522460936,2024-03-19 12:01:55
468,1710849755.0,3.587,0.642,297.5743022460937,2024-03-19 12:02:35
469,1710849795.0,3.589,0.642,297.58687548828124,2024-03-19 12:03:15
470,1710849832.0,3.591,0.642,297.6694560546875,2024-03-19 12:03:52
471,1710849873.0,3.593,0.642,297.61827807617186,2024-03-19 12:04:33
472,1710849911.0,3.594,0.642,297.63085131835936,2024-03-19 12:05:11
473,1710849953.0,3.596,0.642,297.58592944335936,2024-03-19 12:05:53
474,1710849994.0,3.598,0.642,297.60265307617186,2024-03-19 12:06:34
475,1710850036.0,3.6,0.642,297.64232592773436,2024-03-19 12:07:16
476,1710850082.0,3.603,0.642,297.6382060546875,2024-03-19 12:08:02
477,1710850131.0,3.605,0.642,297.6486125488281,2024-03-19 12:08:51
478,1710850182.0,3.607,0.642,297.6611857910156,2024-03-19 12:09:42
479,1710850228.0,3.609,0.642,297.62776904296874,2024-03-19 12:10:28
480,1710850281.0,3.611,0.642,297.63927416992186,2024-03-19 12:11:21
481,1710850334.0,3.613,0.642,297.7051616210937,2024-03-19 12:12:14
482,1710850389.0,3.615,0.642,297.7051616210937,2024-03-19 12:13:09
483,1710850443.0,3.617,0.642,297.6821818847656,2024-03-19 12:14:03
484,1710850502.0,3.619,0.642,297.667625,2024-03-19 12:15:02
485,1710850568.0,3.621,0.642,297.69689135742186,2024-03-19 12:16:08
486,1710850630.0,3.623,0.642,297.70836596679686,2024-03-19 12:17:10
487,1710850695.0,3.625,0.642,297.7272258300781,2024-03-19 12:18:15
488,1710850764.0,3.627,0.642,297.7356486816406,2024-03-19 12:19:24
489,1710850829.0,3.629,0.642,297.7638469238281,2024-03-19 12:20:29
490,1710850901.0,3.631,0.642,297.7649150390625,2024-03-19 12:21:41
491,1710850972.0,3.633,0.642,297.750388671875,2024-03-19 12:22:52
492,1710851044.0,3.635,0.642,297.79634814453124,2024-03-19 12:24:04
493,1710851114.0,3.637,0.642,297.8130412597656,2024-03-19 12:25:14
494,1710851184.0,3.639,0.642,297.862205078125,2024-03-19 12:26:24
495,1710851255.0,3.641,0.642,297.86437182617186,2024-03-19 12:27:35
496,1710851332.0,3.643,0.642,297.85179858398436,2024-03-19 12:28:52
497,1710851406.0,3.645,0.642,297.83296923828124,2024-03-19 12:30:06
498,1710851482.0,3.647,0.642,297.86959033203124,2024-03-19 12:31:22
499,1710851562.0,3.649,0.642,297.8706584472656,2024-03-19 12:32:42
